product_id,strategy_id,reference_strategy_id,annual_cost_usd,reference_annual_cost_usd,delivered_units_per_year,incremental_cost_usd_per_year,resilience_premium_usd_per_unit,break_even_price_usd_per_unit,committed_units_for_fixed_cost,take_or_pay_fraction_of_capacity,implied_utilization,capacity_units_per_year,notes,fixed_share_of_cost,min_contracted_utilization_at_break_even
norepinephrine_1mgml_4ml,S0,S0,12662900.86866407,12662900.86866407,887743.4720000001,0.0,0.0,14.264144167836886,798648.748755574,0.8494598712503763,0.9442229222840424,940184.1991429095,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8271086490585546,0.8494598712503763
norepinephrine_1mgml_4ml,S1,S0,12502548.026957646,12662900.86866407,878595.362,-160352.8417064231,-0.18251045776226518,14.230154821779774,800724.071950857,0.8517877982581189,0.9346250914306286,940051.1178820761,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8377168244473256,0.8517877982581189
norepinephrine_1mgml_4ml,S10,S0,17563887.06337318,12662900.86866407,926633.54,4900986.194709109,5.289023096130439,18.954512550207472,852574.1342289718,0.9065075293704291,0.9852518945309451,940504.195062876,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8642544112297836,0.9065075293704291
norepinephrine_1mgml_4ml,S11,S0,15552459.028400488,12662900.86866407,939762.2380000001,2889558.159736419,3.0747757708225967,16.54935514487068,821565.0582317867,0.8735865766450901,0.9992680045590882,940450.6435835059,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8134772824814709,0.8735865766450901
norepinephrine_1mgml_4ml,S12,S0,21996051.267921068,12662900.86866407,927059.2980000001,9333150.399256999,10.067479415170052,23.726692904514795,866791.2063070296,0.921619200297852,0.9856994886826405,940509.0584342178,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.889672361587349,0.921619200297852
norepinephrine_1mgml_4ml,S13,S0,20099162.700943485,12662900.86866407,940434.5560000001,7436261.832279416,7.907261366392639,21.37220774450517,854779.6436180319,0.9089061518289868,0.9999849197659698,940448.7381870653,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8600125182431867,0.9089061518289868
norepinephrine_1mgml_4ml,S14,S0,23891498.60892248,12662900.86866407,936901.598,11228597.740258412,11.984820779714811,25.50054206324716,876315.8527878409,0.931790288850774,0.9962113635715855,940464.6767339112,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8931530994891834,0.931790288850774
norepinephrine_1mgml_4ml,S15,S0,12798322.66429991,12662900.86866407,933522.786,135421.7956358418,0.14506533495138682,13.70970570428038,833904.4781179633,0.8868315940556241,0.9927725802169352,940318.8651685079,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8183568351389161,0.8868315940556241
norepinephrine_1mgml_4ml,S16,S0,15952010.910048034,12662900.86866407,932808.7779999999,3289110.041383965,3.5260281838642444,17.10105145477955,839312.7480730388,0.8924326542232881,0.9918460258641021,940477.4064475697,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8392622664727825,0.8924326542232881
norepinephrine_1mgml_4ml,S17,S0,19293972.6389441,12662900.86866407,940448.6599999999,6631071.7702800315,7.050966259317156,20.515710702319573,824781.2190239392,0.8770082345844794,1.0,940448.6599999999,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8278478869657094,0.8770082345844794
norepinephrine_1mgml_4ml,S18,S0,22945180.774388146,12662900.86866407,939549.032,10282279.905724077,10.943845989427912,24.42148306570566,871583.3710503667,0.9267856472912548,0.9990559557539709,940436.8459932137,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8839781154563655,0.9267856472912548
norepinephrine_1mgml_4ml,S19,S0,15832144.536980636,12662900.86866407,931850.6960000001,3169243.6683165673,3.401020873752255,16.990001300573837,847246.0671761901,0.9009414160648108,0.990907976018532,940400.8430169026,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8476665163477805,0.9009414160648108
norepinephrine_1mgml_4ml,S2,S0,25478090.32422343,12662900.86866407,928834.5179999999,12815189.45555936,13.797064177969494,27.430171715715062,880176.4942653832,0.9358608851379655,0.9875972601241538,940499.2859976478,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.9078855249774457,0.9358608851379655
norepinephrine_1mgml_4ml,S3,S0,18930318.05377432,12662900.86866407,916351.218,6267417.1851102505,6.839536044694001,20.658365135467434,853736.156164153,0.9078595290459662,0.9744441291464053,940383.5382565303,"no price supplied: the break-even price is used, so committed volume equals delivered volume by construction (protocol 5.2 keeps price and cost separate; a real price needs HA-11 or HA-24 evidence)",0.8798054325600767,0.9078595290459662
