product_id,strategy_id,mean_cost,mean_fill,p_meet,feasible,dominated_by,on_frontier,eligibility
norepinephrine_1mgml_4ml,S0,12756744.874285078,0.9854083423603004,0.65,False,S1,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S1,12745799.44207802,0.9873992939242516,0.725,False,,True,NO_CONCLUSION
norepinephrine_1mgml_4ml,S2,18419731.294392444,0.99443417798584,0.85,False,,True,NO_CONCLUSION
norepinephrine_1mgml_4ml,S3,24839256.4333296,0.9944946092877178,0.9,True,,True,NO_CONCLUSION
norepinephrine_1mgml_4ml,S4,31774267.21625302,0.9938668844177169,0.85,False,S2;S3,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S5,51584566.37596258,0.99006262761181,0.7,False,S2;S3;S4,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S6,54293478.85990109,0.99006262761181,0.7,False,S2;S3;S4;S5,False,NO_CONCLUSION
norepinephrine_1mgml_4ml,S7,22210922.97260475,0.9613181523962965,0.25,False,S0;S1;S2,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S0,12982701.851752788,0.7251068124842959,0.0,False,S1,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S1,12813012.903963763,0.7311941281718202,0.0,False,,True,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S2,24595838.87426009,0.9942902743931301,0.925,True,,True,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S3,33078701.969683,0.9948900093520848,0.925,True,,True,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S4,41752471.54403818,0.9936581593110938,0.825,False,S2;S3,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S5,64139640.218188904,0.9342284597782993,0.0,False,S2;S3;S4,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S6,67235791.42474334,0.9342284597782993,0.0,False,S2;S3;S4;S5,False,NO_CONCLUSION
sodium_bicarbonate_8_4_50ml,S7,25398370.753739614,0.8749911510375868,0.225,False,S2,False,NO_CONCLUSION
